"FOLIO","VIV_SEL","HOGAR","N_REN","P6_1_01","P6_1_02","P6_1_03","P6_1_04","P6_1_05","P6_1_06","P6_1_07","P6_1_08","P6_1_09","P6_1_10","P6_2_1","P6_3A_1","P6_3B_1","P6_3C_1","P6_3D_1","P6_2_2","P6_3A_2","P6_3B_2","P6_3C_2","P6_3D_2","P6_2_3","P6_3A_3","P6_3B_3","P6_3C_3","P6_3D_3","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_6_1","P6_6_2","P6_6_3","P6_6_4","P6_6_5","P6_6_6","P6_6_7","P6_6_8","P6_6_9","EST_DIS","UPM_DIS","FACTOR"
"0208113","12","1","03","1","2","2","2","2","2","2","2","2","2","2","2","2","3","4","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","025","0000487",3214
"0208113","15","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","3","2","1","1","2","3","3","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","025","0000487",4202
"0260225","12","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","","","","","","2","2","2","2","1","1","2","2","2","1","1","2","2","2","1","2","2","2","028","0000493",2654
"0260377","15","1","05","1","2","2","2","2","2","2","2","2","2","1","2","3","3","4","","","","","","","","","","","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","2","027","0000495",7693
"0300023","04","1","06","1","1","2","2","2","2","2","2","2","2","3","2","1","2","4","3","4","4","4","4","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","030","0000503",823
"0300023","05","1","05","1","1","2","2","2","2","2","2","2","2","1","1","3","4","3","1","2","2","3","4","","","","","","2","2","1","1","2","2","2","1","2","2","2","2","2","2","1","2","2","2","030","0000503",763
"0300029","05","1","03","1","1","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","2","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","2","2","2","030","0000504",455
"0300118","01","1","04","1","1","2","2","2","2","2","2","2","2","1","2","3","3","4","1","3","2","3","3","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","031","0000520",587
"0300120","03","1","06","2","2","1","2","1","2","2","2","2","2","","","","","","","","","","","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","1","2","2","2","029","0000521",700
"0300175","05","1","03","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","","","","","","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","030","0000532",453
"0300223","05","1","02","1","1","2","2","2","2","2","2","2","2","3","3","2","1","3","2","3","2","2","4","","","","","","2","2","2","2","2","1","2","2","2","1","1","2","2","2","2","2","2","2","030","0000541",281
